Language Name	Current Data 	BCP47	Code	Script	# Speakers	# Articles	Regional Langs	Family	Genus	Nucleus	Target Dialect 	Agglu?	Word Order	FLORES	FLORES Beta ETA	FLORES 200 Final ETA	Seed Data	Data Version	Amt Mono Data	Amt Public Bitext	Bitext Download	Mono Download	Seed URLs	Toxicity	Dictionary	H2 2021	Launch Status	Future Candidate
Shona	sna	sna	sna	Latin	9,037,000			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	1427061	1964770	Done	Done	---	TRUE	FALSE	31.5	CANDIDATE	Often deleted
Sicilian	scn	scn	scn	Latin			Italian	Indo-European	Romance	Western Romance	Standard literary Sicilian	FALSE		Delivered	Delivered	TBC	Start Jan	---	---	26	so hard to download	---	manual complete	FALSE	FALSE	---		
Sindhi	snd	snd_Arab	snd	Arabic				Indo-European	Indo-Aryan	Northwestern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	5518012	420354	Done	Done	---	TRUE	FALSE	39.1		
Sinhalese, Sinhala	sin	sin	sin	Sinhala				Indo-European	Indo-Aryan	Southern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	29848970	1393341	Done	Done	---	TRUE	FALSE	38.6		
Slovak	slk	slk	slk	Latin	7,239,000			Indo-European	Balto-Slavic	Western Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	11425112	Done	Done	---	TRUE	FALSE	46.5		
Slovene	slv	slv	slv	Latin	2,230,000			Indo-European	Balto-Slavic	Southwestern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	22534343	Done	Done	---	TRUE	FALSE	41.7		
Somali	som	som	som	Latin	21,903,330			Afro-Asiatic	Cushitic	Somali		FALSE		Delivered	---	---	---	data freeze 2	25980050	886519	Done	Done	---	TRUE	FALSE	29.2		
Southern Sotho	sot	sot	sot	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	No dialects known. National language.	FALSE		Delivered	Delivered	Delivered	---	---	---	1868321	Done	manual complete	---	FALSE	FALSE	---		
Spanish	spa	spa	spa	Latin	542,894,000			Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	78131389	Done	Done	---	TRUE	FALSE	35.7		
Sundanese	sun	sun_Latn	sun	Latin				Austronesian	Malayo-Polynesian	Malayo-Sumbawan		FALSE		Delivered	---	---	---	data freeze 2	2807415	710994	Done	Done	---	FALSE	FALSE	40.3		
Swahili	swh	swh_Latn	swh	Latin	69,195,500			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	44548736	2966846	Done	Done	---	TRUE	FALSE	49.3		
Swati	ssw	ssw	ssw	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	400703	436977	Done	Done	---	FALSE	FALSE	32.4		
Swedish	swe	swe	swe	Latin	13,056,000			Indo-European	Germanic	North Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	24745936	Done	Done	---	TRUE	FALSE	54		
Tagalog	tgl	tgl	tgl	Latin	25,698,000			Austronesian	Greater Central Philippine	Tagalogic		TRUE		Delivered	---	---	---	data freeze 2	66510542	4665205	Done	Done	---	TRUE	FALSE	53		
Tajik	tgk	tgk	tgk	Cyrillic				Indo-European	Iranian	Western Iranian		FALSE		Delivered	---	---	---	data freeze 2	22424753	1271027	Done	Done	---	TRUE	FALSE	33.8		
Tamil	tam	tam_Taml	tam	Tamil	85,456,000			Dravidian	Tamil-Kannada	Tamil-Malayalam		FALSE		Delivered	---	---	---	data freeze 2	118166709	2471156	Done	Done	---	TRUE	FALSE	37.3		
Tatar	tat_Cyrl	tat_Cyrl	tat_Cyrl	Cyrillic				Turkic	Western Turkic	Uralian	Central or Middle	FALSE		Delivered	Delivered	Delivered	---	---	---	1163254	Done	manual complete	---	FALSE	FALSE	---		
Telugu	tel	tel_Telu	tel	Telugu	95,581,000			Dravidian	Telugu	Telugu		FALSE		Delivered	---	---	---	data freeze 2	97346251	2060950	Done	Done	---	TRUE	FALSE	45.4		
Thai	tha	tha	tha	Thai	60,715,500			Kra-Dai	Tai	Thai		FALSE		Delivered	---	---	---	data freeze 2	---	6300132	Done	Done	---	TRUE	FALSE	37.2		
Tibetan	bod	bod	bod	Uchen				Sino-Tibetan	Tibeto-Burman	Bodish	Sino-Tibetan on South Asia (Afganistán, Bangladésh, Bután, India, Maldivas, Nepal, Pakistán and Sri Lanka), North Asia (siberia), Southeast Asia (Brunei, Burma (Myanmar), Cambodia, Timor-Leste, Indonesia, Laos, Malaysia, the Philippines, Singapore, Thailand and Vietnam); Ladakhi on Ladakh; Lhasa Tibetan on Lhasa (TibetAutonomous Region)	FALSE		Delivered	N/A	Delivered	---	---	---	594203	todo-P1	todo-P1	---	FALSE	FALSE	---		
Tigrinya	tir	tir	tir	Ethi				Afro-Asiatic	Semitic	Ethiopian		FALSE		Delivered	---	---	---	data freeze 2	1496201	550169	Done	Done	---	FALSE	FALSE	26.3		Often deleted
Tok Pisin	tpi	tpi	tpi	Latin				Indo-European	Germanic	English-based Creole	no specific Dialect	FALSE		Delivered	N/A	Delivered	---	---	---	1204065	todo-P1	todo-P1	---	FALSE	FALSE	---		
Tsonga	tso	tso	tso	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Standard Tsonga ( Dzonga)	FALSE		Delivered	Delivered	Delivered	---	---	---	1688528	Done	manual complete	---	FALSE	FALSE	---		No translation
Tswana	tsn	tsn	tsn	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	1029544	2000069	Done	Done	---	FALSE	FALSE	32.5		
Turkish	tur	tur	tur	Latin	88,102,000			Turkic	Southern Turkic	Turkish		TRUE		Delivered	---	---	---	data freeze 2	---	51900705	Done	Done	---	TRUE	FALSE	46.1		
Turkmen	tuk	tuk_Latn	tuk	Latin				Turkic	Southern Turkic	Turkmenian	Turkmen - Teke	FALSE		Delivered	Delivered	Delivered	---	---	---	1139843	Done	manual complete	---	FALSE	FALSE	---		
Twi	twi	twi	twi	Latin-Greek				Atlantic-Congo	Kwa	Nyo-Akanic	Akuapem Twi	FALSE		Delivered	Delivered	1/17	---	---	---	1289251	automated complete	to format	---	FALSE	FALSE	---		
Ukrainian	ukr	ukr_Cyrl	ukr	Cyrillic	33,178,500			Indo-European	Balto-Slavic	Eastern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	5054890	Done	Done	---	TRUE	FALSE	45.5		
Umbundu	umb	umb	umb	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	154693	233719	Done	Done	---	FALSE	FALSE	11.2		
Urdu	urd	urd_Arab	urd	Arabic	230,052,500			Indo-European	Indo-Aryan	Western Hindi		FALSE		Delivered	---	---	---	data freeze 2	44340015	4607696	Done	Done	---	TRUE	FALSE	40.7		
Uyghur	uig	uig	uig	Uyghur Perso-Arabic				Turkic	Eastern Turkic	Uyghur	Standard Uyghur	FALSE		Delivered	Delivered	1/21	---	---	---	1157939	Done	manual complete	---	FALSE	FALSE	---		Often deleted
Uzbek	uzb	uzb_Latn	uzb	Latin				Turkic	Eastern Turkic	Uzbek		FALSE		Delivered	---	---	---	data freeze 2	35694547	0	todo-P0	Done	---	TRUE	FALSE	36.3		
Vietnamese	vie	vie	vie	Latin	76,843,000			Austro-Asiatic	Vietic	Viet-Muong		FALSE		Delivered	---	---	---	data freeze 2	---	10324417	Done	Done	---	TRUE	FALSE	43.9		
Welsh	cym	cym	cym	Latin	573,000			Indo-European	Celtic	Brythonic		FALSE		Delivered	---	---	---	data freeze 2	21209971	2675635	Done	Done	---	TRUE	FALSE	61		
Wolof	wol	wol_Latn	wol	Latin	12,266,000			Atlantic-Congo	Senegambian	Fula-Wolof		FALSE		Delivered	---	---	---	data freeze 2	4125035		Done	Done	---	TRUE	FALSE	11.7		
Xhosa	xho	xho	xho	Latin	19,183,500			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	7451655	2646652	Done	Done	---	TRUE	FALSE	43.9	CANDIDATE	Often deleted
Yiddish	yid	yid	yid	Hebrew				Indo-European	Germanic	West Germanic		FALSE		Delivered	---	---	---	data freeze 2	4315084	6198	todo-P0	Done	---	TRUE	FALSE	49.2		
Yoruba	yor	yor_Latn	yor	Latin	42472860			Atlantic-Congo	Benue-Congo	Yoruboid		FALSE		Delivered	---	---	---	data freeze 2	14945577	1559723	Done	Done	---	TRUE	FALSE	24.7		
Yue Chinese	yue	yue	yue	Chinese Traditional				Sino-Tibetan	Chinese	Yue		FALSE		Delivered	---	---	---	data freeze 2	---	1485239	Done	Done	---	FALSE	FALSE	35.9	CANDIDATE	Often deleted
Zulu	zul	zul	zul	Latin	27,770,000			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	5528916	1732006	Done	Done	---	TRUE	FALSE	44.9	LAUNCHED	Often deleted
Acehnese (Arabic script)	ace_Arab	ace_Arab	ace_Arab	Arabic				Austronesian	Malayo-Chamic	Chamic	North Acehnese	FALSE		Planned for 200			Delivered	---	---	1073041	todo-P1	todo-P1	---	FALSE	FALSE	---		
Acehnese (Latin script)	ace_Latn	ace_Latn	ace_Latn	Latin				Austronesian	Malayo-Chamic	Chamic	North Acehnese	FALSE		Planned for 200			Delivered	---	---	1073041	todo-P1	todo-P1	---	FALSE	FALSE	---		
Arabic (Jordan)		ajp	ajp	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Planned for 200			remove	---	---	0	todo-P1	todo-P1	manual complete	FALSE	FALSE	---		
Balinese	ban	ban_Latn	ban	Latin 				Austronesian	Malayo-Sumbawan	Bali-Sasak-Sumbawa	N/A	FALSE		Planned for 200			Delivered	---	---	678000	todo-P0	todo-P1	---	FALSE	FALSE	---		
Banjar	bjn_Latn	bjn_Latn	bjn_Latn	Latin				Austronesian	Malayo-Chamic	Malayic	Banjar Kuala dialect	FALSE		Planned for 200			Delivered	---	---	0	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		No translation
Banjar	bjn_Arab	bjn_Arab	bjn_Arab	Arabic				Austronesian	Malayo-Chamic	Malayic	Banjar Kuala dialect	FALSE		Planned for 200			Delivered	---	---	0	todo-P0	---	manual complete	FALSE	FALSE	---		
Buginese	bug	bug_Latn	bug	Latin				Austronesian	South Sulawesi	Bugis	Bone	FALSE		Planned for 200	2/4	2/18	Delivered	---	---	445003	todo-P0	---	---	FALSE	FALSE	---		
Chhattisgarhi	hne	hne_Deva	hne	Devanagari				Indo-European	Indo-Aryan	Eastern Indo-Aryan	N/A	FALSE		Planned for 200			Delivered	---	---	1037058	todo-P1	todo-P1	---	FALSE	FALSE	---		
Crimean Tatar	crh_Latn	crh_Latn	crh_Latn	Latin				Turkic	Southern Turkic	Crimean Tatar	N/A	FALSE		Planned for 200			Delivered	---	---	22	todo-P0	---	manual complete	FALSE	FALSE	---		No translation
Dinka (Rek)	dik	dik	dik	Latin				Nilo-Saharan	Nilotic	Dinka-Nuer	Bor	FALSE		Planned for 200			Delivered	---	---	6	todo-P0	---	manual complete	FALSE	FALSE	---		
Faroese	fao	fao	fao	Latin				Indo-European	Germanic	North Germanic	N/A	FALSE		Delivered	Delivered	2/17	---	---	---	326394	manual complete	manual complete	---	FALSE	FALSE	---		
Friulian	fur	fur	fur	Latin			Italian	Indo-European	Romance	Western Romance	Central Friulian, spoken around Udine	FALSE		Planned for 200			Delivered	---	---	82	todo-P0	---	manual complete	FALSE	FALSE	---		
Kabiye	kbp	kbp	kbp	Latin				Atlantic-Congo	Gur	Grusi	Kɛ̀wɛ	FALSE		Planned for 200	2/16	3/2	---	---	---	1753676	todo-P1	todo-P1	---	FALSE	FALSE	---		
Latgalian	ltg	ltg	ltg	Latin				Indo-European	Balto-Slavic	Eastern Baltic	Central	FALSE		Planned for 200	1/21	2/4	Delivered	---	---	199	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Ligurian	lij	lij	lij	Latin			Italian	Indo-European	Romance	Western Romance	Zeneize dialect	FALSE		Planned for 200			Start Jan	---	---	94	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Limburgish	lim	lim	lim	Latin			Dutch	Indo-European	Germanic	West Germanic	Maastrichtian dialect (Mestreechs)	FALSE		Planned for 200			Start Jan	---	---	741	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Lombard	lmo	lmo	lmo	Latin			Italian	Indo-European	Romance	Western Romance	Western Lombard	FALSE		Planned for 200			Start Jan	---	---	130	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Luba-Kasai	lua	lua	lua	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Tshiluba	FALSE		Planned for 200	1/31	2/14	---	---	---	321492	todo-P1	todo-P1	---	FALSE	FALSE	---		
Minangkabau (Arabic script)	min_Arab	min_Arab	min_Arab	Arabic				Austronesian	Malayo-Chamic	Malayic	Agam-Tanah Datar dialect	FALSE		Planned for 200			---	---	---	892678	todo-P1	todo-P1	---	FALSE	FALSE	---		
Minangkabau (Latin script)	min_Latn	min_Latn	min_Latn	Latin				Austronesian	Malayo-Chamic	Malayic	Agam-Tanah Datar dialect	FALSE		Planned for 200			---	---	---	892678	todo-P1	todo-P1	---	FALSE	FALSE	---		
Mizo	lus	lus	lus	Latin				Sino-Tibetan	Tibeto-Burman	Kuki-Chin	Aizawl	FALSE		Planned for 200	2/11	2/25	---	---	---	1509562	todo-P1	todo-P1	---	FALSE	FALSE	---		
Mossi	mos	mos	mos	Latin-Greek				Atlantic-Congo	Gur	Oti-Volta	Ouagadougou dialect	FALSE		Planned for 200			---	---	---	2096417	todo-P1	todo-P1	---	FALSE	FALSE	---		
Nuer	nus	nus	nus	Latin				Nilo-Saharan	Nilotic	Dinka-Nuer	N/A	FALSE		Planned for 200	2/9	2/23	Delivered	---	---	647509	todo-P1	todo-P1	---	FALSE	FALSE	---		
Pangasinan	pag	pag	pag	Latin				Austronesian	Northern Luzon	West Southern Cordilleran	Standard Pangasinan	FALSE		Planned for 200			---	---	---	1091754	todo-P1	todo-P1	---	FALSE	FALSE	---		
Papiamento	pap	pap	pap	Latin				Indo-European	Romance	Portuguese-based Creole	Römer-Maduro-Jonis orthography	FALSE		Planned for 200			---	---	---	324337	todo-P1	todo-P1	---	FALSE	FALSE	---		Often deleted
Silesian	szl	szl	szl	Latin			Polish	Indo-European	Balto-Slavic	Western Slavic	N/A	FALSE		Planned for 200	2/4	2/18	Delivered	---	---	166	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
South Azerbaijani	azb	azb_Arab	azb	Arabic				Turkic	Southern Turkic	Azerbaijani	Tabrizi	FALSE		Planned for 200			---	---	---	1604559	todo-P1	todo-P1	---	FALSE	FALSE	---		No translation
Southern Zaza (Dimli)	diq	diq	diq	Latin				Indo-European	Iranian	Northwestern Iranian	There is no recognized standard dialect, as Southern and Northern Zazaki form a dialectal continuum. In Turkey, Southern Zazaki has 1,280,000 speakers compared with 200K for Northern Zazaki.	FALSE		Planned for 200			---	---	---	530	todo-P0	---	manual complete	FALSE	FALSE	---		No translation
Tamashek (Latin script)	tmh_Latn	tmh_Latn	tmh_Latn	Latin				Afro-Asiatic	Berber	Tuareg	Kal Ansar dialect around Timbuktu (denoted 'T-Ka')	FALSE		Planned for 200			Delivered	---	---	0	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Tamashek (Tifinagh script)	tmh_Tfng	tmh_Tfng	tmh_Tfng	Tifinagh				Afro-Asiatic	Berber	Tuareg	Kal Ansar dialect around Timbuktu (denoted 'T-Ka')	FALSE		Planned for 200			Delivered	---	---	0	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Tonga	ton	ton	ton	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Tongan (Lea Fakatonga)	FALSE		Planned for 200			---	---	---	75912	todo-P1	todo-P1	---	FALSE	FALSE	---		Often deleted
Tumbuka	tum	tum	tum	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Rumphi variant	FALSE		Planned for 200			---	---	---	585097	todo-P1	todo-P1	---	FALSE	FALSE	---		
Venetian	vec	vec	vec	Latin			Italian	Indo-European	Romance	Western Romance	Venetian Proper (Venessian) based on Venice dialect	FALSE		Planned for 200			Start Jan	---	---	58	todo-P0	todo-P0	manual complete	FALSE	FALSE	---		
Waray	war	war	war	Latin				Austronesian	Greater Central Philippine	Bisayan	Standard Waray (Tacloban dialect)	FALSE		Planned for 200			---	---	---	1281067	todo-P1	todo-P1	---	FALSE	FALSE	---		No translation
Abkhazian	abk													Planned for 300														
Afar	aar													Planned for 300														
Baoule	bci													Planned for 300														
Bislama	bis													Planned for 300														
Bukina Fula	fuh													Planned for 300														
Cameroonian Fula / Adamawa Fulfulde	fub													Planned for 300														
Cameroonian Pidgin	wes													Planned for 300														
Central Bikol	bcl													Planned for 300														
Chadian Arabic	shu													Planned for 300														
Chamorro	cha													Planned for 300														
Chiyao / Yao	yao													Planned for 300														
Fang	fan													Planned for 300														
Fiji Hindi	hif													Planned for 300														
Gagauz	gag													Planned for 300														
Gambian Fulah / Pulaar	fuc													Planned for 300														
Gan Chinese	gan													Planned for 300														
Gourmanchéma	gux													Planned for 300														
Greenlandic	kal													Planned for 300														
Gun	guw													Planned for 300														
Hakka Chinese	hak													Planned for 300														
Hawaiian	haw													Planned for 300														
Herero	her													Planned for 300														
Jamaican English Creole	jam													Planned for 300														
Kabardian	kbd													Planned for 300														
Kapampangan	pam													Planned for 300														
Kituba	ktu													Planned for 300														
Krio	kri													Planned for 300														
Kwanyama	kua													Planned for 300														
Madurese	mad													Planned for 300														
Maldivian	div													Planned for 300														
Maninka (Eastern Maninkakan)	emk													Planned for 300														
Marshallese	mah													Planned for 300														
Maurisyen	mfe													Planned for 300														
Meadow-Eastern Mari	mhr													Planned for 300														
Min Dong Chinese	cdo													Planned for 300														
Min Nan Chinese	nan													Planned for 300														
Ndebele	nde													Planned for 300														
Northern Sami	sme													Planned for 300														
Nuosu	iii													Planned for 300														
Romansh	roh													Planned for 300														
Seselwa	crs													Planned for 300														
Sidaama	sid													Planned for 300														
Sonike / Soninke / Serakhulle / Azer	snk													Planned for 300														
Tahitian	tah													Planned for 300														
Tetum	tet													Planned for 300														
Tulu	tcy													Planned for 300														
Venda	ven													Planned for 300														
Western Frisian	fry													Planned for 300														
Western Punjabi	pnb													Planned for 300														
Zande	zne													Planned for 300														
